,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
13,"[167.73807525634766, 262.71068572998047, -9.942551514541265e-06]","[208.81170272827148, 278.9206123352051, -0.023642731830477715]","[253.74040603637695, 275.4817199707031, -0.04193411022424698]","[290.3817558288574, 271.04278564453125, -0.061590224504470825]","[316.0288429260254, 270.77659606933594, -0.08624213188886642]","[268.85751724243164, 217.00368404388428, -0.03961709514260292]","[311.88819885253906, 200.47566890716553, -0.07311835885047913]","[339.18975830078125, 190.69177150726318, -0.09611380100250244]","[363.3657455444336, 180.58274745941162, -0.11407911777496338]","[253.63828659057617, 194.3516206741333, -0.05405688285827637]","[292.7908134460449, 165.06360054016113, -0.08435802906751633]","[320.44403076171875, 144.46337699890137, -0.1099545806646347]","[342.5692367553711, 128.2261562347412, -0.12835219502449036]","[230.79578399658203, 179.48939323425293, -0.0740196630358696]","[259.43721771240234, 142.57633209228516, -0.10799271613359451]","[281.3498878479004, 118.05051326751709, -0.13251657783985138]","[300.94343185424805, 99.86974239349365, -0.1530071496963501]","[201.36260986328125, 172.56689071655273, -0.09384466707706451]","[205.3409767150879, 135.84174156188965, -0.12482437491416931]","[209.69776153564453, 109.53017234802246, -0.14443549513816833]","[215.08424758911133, 86.2166976928711, -0.15786825120449066]"
14,"[167.53623962402344, 262.52832412719727, -1.2346265975793358e-05]","[208.1401824951172, 278.6495018005371, -0.02464383840560913]","[253.21361541748047, 275.86864471435547, -0.042424410581588745]","[290.07274627685547, 272.006778717041, -0.06164862960577011]","[315.5620765686035, 271.6461753845215, -0.08531484007835388]","[268.52739334106445, 216.6179609298706, -0.03872855007648468]","[312.0024108886719, 199.71174716949463, -0.07315975427627563]","[339.44141387939453, 189.7220277786255, -0.09669328480958939]","[363.57696533203125, 180.06282806396484, -0.11436561495065689]","[253.4493064880371, 193.81138801574707, -0.052779603749513626]","[292.9519271850586, 164.46856498718262, -0.08406531810760498]","[320.93345642089844, 144.3232011795044, -0.10932177305221558]","[343.6677551269531, 128.76651763916016, -0.1277003437280655]","[230.6633758544922, 178.76024723052979, -0.07294230908155441]","[259.4548797607422, 142.16068267822266, -0.10706472396850586]","[280.8276557922363, 118.09023857116699, -0.13082754611968994]","[300.5668640136719, 99.97294664382935, -0.14999699592590332]","[201.15304946899414, 171.55699253082275, -0.09326636791229248]","[206.21997833251953, 135.17244815826416, -0.12495680153369904]","[210.8629035949707, 109.37918186187744, -0.14528082311153412]","[216.70269012451172, 86.25607967376709, -0.15946222841739655]"
15,"[167.39242553710938, 262.1755886077881, -2.0419753127498552e-05]","[207.7437400817871, 279.5155906677246, -0.02563122846186161]","[252.69060134887695, 277.7666473388672, -0.04409629479050636]","[289.71302032470703, 274.49841499328613, -0.06333049386739731]","[315.7716178894043, 275.41943550109863, -0.08779782056808472]","[268.7944030761719, 217.5423288345337, -0.03974613919854164]","[311.9051742553711, 200.2392053604126, -0.0746292918920517]","[339.33868408203125, 189.90437507629395, -0.09946510940790176]","[363.96812438964844, 179.96875762939453, -0.1188424751162529]","[253.79253387451172, 194.57635402679443, -0.052749283611774445]","[293.04725646972656, 165.67952156066895, -0.0861353948712349]","[321.0747528076172, 145.78833103179932, -0.1130528450012207]","[344.3000030517578, 130.01566886901855, -0.1344473659992218]","[231.24067306518555, 179.2701816558838, -0.07208549976348877]","[259.9288558959961, 143.40519905090332, -0.10682500153779984]","[281.61407470703125, 119.87726211547852, -0.13165569305419922]","[301.875, 101.76119327545166, -0.1528085619211197]","[202.17485427856445, 171.56239986419678, -0.09151124954223633]","[207.88299560546875, 135.38897037506104, -0.12348658591508865]","[212.91934967041016, 109.97704982757568, -0.144472137093544]","[219.19261932373047, 86.9995665550232, -0.16077619791030884]"
16,"[167.66437530517578, 261.1146068572998, -3.579449185053818e-05]","[208.79364013671875, 277.6257133483887, -0.033982355147600174]","[253.7900161743164, 276.9550037384033, -0.05905575677752495]","[290.69297790527344, 272.92222023010254, -0.08270949125289917]","[317.0684051513672, 270.0070381164551, -0.10880675911903381]","[268.905086517334, 217.79972076416016, -0.0548502579331398]","[311.497802734375, 199.50904369354248, -0.09610126167535782]","[337.9651641845703, 189.51200008392334, -0.12308473885059357]","[362.10594177246094, 179.77628231048584, -0.14303058385849]","[253.45108032226562, 195.03853797912598, -0.06453634798526764]","[292.2985076904297, 166.42795085906982, -0.10463614761829376]","[320.02872467041016, 147.21219062805176, -0.13341471552848816]","[344.0248489379883, 131.3821506500244, -0.1569136679172516]","[230.5179214477539, 179.98111724853516, -0.08167146146297455]","[259.8318099975586, 145.2135944366455, -0.12043281644582748]","[281.96802139282227, 122.54519462585449, -0.1466098129749298]","[302.69126892089844, 104.96295690536499, -0.16964416205883026]","[201.26510620117188, 172.25698471069336, -0.09929019212722778]","[208.47356796264648, 136.48728847503662, -0.1304801106452942]","[215.26208877563477, 112.18454360961914, -0.15282420814037323]","[223.33282470703125, 91.00114345550537, -0.17116081714630127]"
17,"[167.41939544677734, 258.14002990722656, -6.216144538484514e-05]","[209.7813606262207, 273.7042236328125, -0.03550991043448448]","[254.38034057617188, 273.6419105529785, -0.06329787522554398]","[291.46535873413086, 268.43825340270996, -0.09080210328102112]","[319.4931221008301, 265.0243949890137, -0.12188317626714706]","[269.01315689086914, 213.79383087158203, -0.04690715670585632]","[308.9589309692383, 196.31715774536133, -0.08477427065372467]","[332.7498245239258, 187.565016746521, -0.11086112260818481]","[354.7602844238281, 179.43281650543213, -0.12977729737758636]","[253.89110565185547, 190.88693618774414, -0.05371210724115372]","[290.6175231933594, 165.1183319091797, -0.0874200165271759]","[316.74694061279297, 147.8030490875244, -0.11390277743339539]","[340.538330078125, 133.2026195526123, -0.13595609366893768]","[231.75626754760742, 175.89481830596924, -0.06888407468795776]","[260.7634925842285, 143.96811962127686, -0.10153134167194366]","[283.39588165283203, 124.24132347106934, -0.12753070890903473]","[305.02391815185547, 108.78428936004639, -0.14991633594036102]","[203.26066970825195, 167.82071113586426, -0.08488675951957703]","[213.2308006286621, 134.04865264892578, -0.1089700385928154]","[222.847900390625, 111.05050563812256, -0.12966737151145935]","[233.88452529907227, 90.78630924224854, -0.1477196365594864]"
18,"[167.45973587036133, 254.45128440856934, -7.233025826280937e-05]","[212.10519790649414, 268.1587600708008, -0.03082207404077053]","[258.4474182128906, 264.0405464172363, -0.051156047731637955]","[292.7365493774414, 250.67350387573242, -0.07339486479759216]","[321.6282653808594, 239.1587734222412, -0.0956573635339737]","[270.6964874267578, 207.54311084747314, -0.007835379801690578]","[301.82111740112305, 186.11085891723633, -0.03274691477417946]","[319.79339599609375, 178.9181900024414, -0.05435437709093094]","[335.64159393310547, 175.75296878814697, -0.06766791641712189]","[254.57077026367188, 186.6091775894165, -0.013731365092098713]","[286.2034797668457, 163.12139511108398, -0.03369921073317528]","[307.9768371582031, 151.16629600524902, -0.05848904699087143]","[328.5855484008789, 143.02252292633057, -0.0798989087343216]","[232.85028457641602, 172.45396614074707, -0.028313757851719856]","[259.9641799926758, 145.0338649749756, -0.051428548991680145]","[281.4092826843262, 130.9908628463745, -0.07603089511394501]","[302.63843536376953, 121.11848831176758, -0.09666389226913452]","[206.17816925048828, 164.18262004852295, -0.046769533306360245]","[220.48858642578125, 135.78818321228027, -0.0658915564417839]","[233.74528884887695, 118.62715244293213, -0.08403949439525604]","[248.4734344482422, 104.20593738555908, -0.10139083862304688]"
19,"[170.71067810058594, 248.1466770172119, -8.83383399923332e-05]","[214.3991470336914, 260.84632873535156, -0.03512711450457573]","[260.7708168029785, 256.04970932006836, -0.0641593411564827]","[291.47369384765625, 237.14219570159912, -0.09390273690223694]","[316.9721031188965, 218.44435214996338, -0.12083704769611359]","[274.08946990966797, 204.50710773468018, -0.014502118341624737]","[302.6172637939453, 186.102032661438, -0.05697029083967209]","[310.0993347167969, 181.40124320983887, -0.11459419131278992]","[303.85387420654297, 187.4733066558838, -0.1538436859846115]","[257.0696258544922, 183.42660427093506, -0.020011231303215027]","[285.8966827392578, 160.446138381958, -0.062416817992925644]","[297.41737365722656, 155.61806201934814, -0.11703184247016907]","[292.56343841552734, 164.61313247680664, -0.15999934077262878]","[234.90781784057617, 169.0660858154297, -0.033423952758312225]","[261.1453437805176, 143.44744205474854, -0.07099117338657379]","[271.0152053833008, 139.84087944030762, -0.11777439713478088]","[271.07460021972656, 149.22225952148438, -0.15142428874969482]","[207.24031448364258, 159.61406707763672, -0.049837637692689896]","[224.2829132080078, 134.55631256103516, -0.08391733467578888]","[235.98173141479492, 130.10138511657715, -0.11390435695648193]","[243.3251953125, 136.97553634643555, -0.1373482197523117]"
20,"[175.92140197753906, 241.79818153381348, -6.644035602221265e-05]","[220.80842971801758, 255.94694137573242, -0.03373201563954353]","[265.1078414916992, 246.28592491149902, -0.06102913245558739]","[295.15209197998047, 222.45909690856934, -0.09202173352241516]","[317.7748489379883, 201.28516674041748, -0.11634314805269241]","[278.94628524780273, 202.74516105651855, -0.00011742262722691521]","[307.30627059936523, 178.23044300079346, -0.048948366194963455]","[296.956787109375, 191.7575740814209, -0.08873188495635986]","[282.9402732849121, 204.78896141052246, -0.1049189418554306]","[261.0515022277832, 183.00188541412354, -0.004558998625725508]","[292.0255470275879, 155.78493118286133, -0.06292963773012161]","[280.8860969543457, 174.55936431884766, -0.10326899588108063]","[267.55054473876953, 188.3424997329712, -0.11589343100786209]","[240.00364303588867, 167.26853370666504, -0.016933375969529152]","[266.7674255371094, 139.30460929870605, -0.062303535640239716]","[259.6527671813965, 158.33453178405762, -0.08980174362659454]","[249.4434356689453, 174.10865306854248, -0.09599197655916214]","[214.41951751708984, 154.29242134094238, -0.032586317509412766]","[234.08367156982422, 130.67574977874756, -0.06567953526973724]","[232.2916603088379, 144.81182098388672, -0.08409664779901505]","[224.4162368774414, 161.1613368988037, -0.0873483344912529]"
21,"[177.122802734375, 238.59270572662354, -5.1600556616904214e-05]","[221.94639205932617, 251.7194366455078, -0.020974064245820045]","[267.1133804321289, 242.25482940673828, -0.04507188871502876]","[298.23041915893555, 217.18668937683105, -0.07700404524803162]","[315.57886123657227, 192.5347137451172, -0.10053594410419464]","[277.8145217895508, 199.28255081176758, 0.0325886569917202]","[303.91008377075195, 174.3773889541626, -0.018947113305330276]","[285.0925827026367, 195.6209135055542, -0.04942157119512558]","[270.14781951904297, 208.09876441955566, -0.052706170827150345]","[261.08203887939453, 182.4404811859131, 0.02085697278380394]","[288.7489700317383, 156.3142204284668, -0.04057653620839119]","[265.1629829406738, 185.93082904815674, -0.0619678758084774]","[252.07515716552734, 194.10743236541748, -0.05219103395938873]","[240.12990951538086, 169.0440845489502, -0.002060410100966692]","[266.74781799316406, 144.2332649230957, -0.05392756685614586]","[246.66349411010742, 176.34253978729248, -0.06048164516687393]","[233.72552871704102, 186.25526905059814, -0.04655362665653229]","[213.72186660766602, 157.1816110610962, -0.02593071758747101]","[238.27083587646484, 140.61136722564697, -0.056628551334142685]","[226.26293182373047, 164.85235691070557, -0.06130962818861008]","[212.24498748779297, 175.17487049102783, -0.0524597242474556]"
22,"[177.99985885620117, 239.19676780700684, -4.9989546823780984e-05]","[222.59727478027344, 250.43858528137207, -0.02407016232609749]","[268.70269775390625, 240.63895225524902, -0.0498032383620739]","[299.79475021362305, 215.7542896270752, -0.08169912546873093]","[312.26160049438477, 190.04592418670654, -0.10438177734613419]","[278.1277084350586, 198.28569889068604, 0.017238331958651543]","[304.3760108947754, 178.5362720489502, -0.038558706641197205]","[283.42838287353516, 203.37225437164307, -0.05358084663748741]","[269.7198677062988, 212.99972534179688, -0.043213922530412674]","[260.75780868530273, 183.08504104614258, 0.0045393770560622215]","[286.67598724365234, 164.40735340118408, -0.07111317664384842]","[259.7047424316406, 197.28322505950928, -0.07923271507024765]","[249.10247802734375, 199.73856925964355, -0.05779583007097244]","[239.86331939697266, 170.0017547607422, -0.020189927890896797]","[264.17863845825195, 153.58843803405762, -0.08574835956096649]","[241.2189483642578, 188.20788860321045, -0.07890808582305908]","[230.02717971801758, 192.69754886627197, -0.05490601435303688]","[213.90377044677734, 158.78093719482422, -0.04728704318404198]","[236.91383361816406, 148.5767698287964, -0.08225470036268234]","[223.33337783813477, 175.34515857696533, -0.07794554531574249]","[210.5860137939453, 181.58565044403076, -0.06306435167789459]"
23,"[179.23965454101562, 239.7398328781128, -5.142783993505873e-05]","[222.76670455932617, 250.66340446472168, -0.020208561792969704]","[268.74378204345703, 240.6906509399414, -0.044978439807891846]","[299.5509338378906, 216.46114826202393, -0.07621948421001434]","[310.9977340698242, 190.24940013885498, -0.09934844076633453]","[276.75804138183594, 197.18633651733398, 0.016103629022836685]","[302.79178619384766, 178.3134412765503, -0.03856468200683594]","[282.8479194641113, 203.27942848205566, -0.054281700402498245]","[268.3187484741211, 213.67959022521973, -0.044718340039253235]","[259.5637321472168, 182.36520767211914, 0.0024027132894843817]","[285.3148078918457, 163.83583545684814, -0.07109356671571732]","[259.7966194152832, 196.73870086669922, -0.08017817884683609]","[247.65459060668945, 200.99650382995605, -0.06044967472553253]","[238.96018981933594, 169.4313669204712, -0.022660668939352036]","[263.3780288696289, 153.53742599487305, -0.08455612510442734]","[241.4568328857422, 187.85546779632568, -0.07726757973432541]","[229.14949417114258, 193.66400241851807, -0.054310187697410583]","[213.3060073852539, 158.16186904907227, -0.049765486270189285]","[236.99878692626953, 148.96295070648193, -0.08223805576562881]","[224.0719223022461, 175.4408884048462, -0.07719388604164124]","[210.7694435119629, 182.23584651947021, -0.06296037137508392]"
24,"[178.39056015014648, 237.96586990356445, -6.778556416975334e-05]","[224.20989990234375, 246.9887638092041, -0.013362081721425056]","[270.32115936279297, 239.4843578338623, -0.041621845215559006]","[303.9444351196289, 217.92441844940186, -0.07654231786727905]","[311.6419982910156, 188.25927257537842, -0.10133691877126694]","[275.94343185424805, 193.74559879302979, 0.01599370688199997]","[301.67724609375, 181.5549087524414, -0.03317520394921303]","[280.2728843688965, 204.1355323791504, -0.03335826098918915]","[268.5367202758789, 209.45184230804443, -0.012036645784974098]","[257.83618927001953, 179.9804162979126, -0.0006258357898332179]","[281.5349769592285, 169.79238510131836, -0.07284782826900482]","[254.9236297607422, 201.19327068328857, -0.07554078102111816]","[247.00729370117188, 199.655499458313, -0.052448444068431854]","[236.55879974365234, 168.06638717651367, -0.026391010731458664]","[258.21197509765625, 159.14551734924316, -0.08697272837162018]","[236.44630432128906, 191.78772926330566, -0.07315660268068314]","[227.9132080078125, 192.59573936462402, -0.04564268887042999]","[211.4026641845703, 157.70058631896973, -0.05424823984503746]","[233.243408203125, 150.8782196044922, -0.0809578225016594]","[221.53749465942383, 176.95302486419678, -0.07076889276504517]","[211.03025436401367, 181.72240734100342, -0.05399700999259949]"
25,"[179.36473846435547, 236.11656188964844, -6.077529178583063e-05]","[223.53815078735352, 245.63650131225586, -0.013783265836536884]","[268.87115478515625, 239.42675113677979, -0.04436967149376869]","[303.081111907959, 218.74274253845215, -0.08037479966878891]","[306.90290451049805, 188.72188568115234, -0.1049075722694397]","[274.08721923828125, 192.3913049697876, 0.01621481217443943]","[299.47364807128906, 181.23896598815918, -0.03063315525650978]","[278.95715713500977, 203.29134464263916, -0.025863302871584892]","[268.7773132324219, 207.808256149292, -6.128008681116626e-05]","[256.5538024902344, 178.99784088134766, -0.0006685102707706392]","[280.23414611816406, 169.88479614257812, -0.07346958667039871]","[253.9521598815918, 201.27625465393066, -0.07486818730831146]","[247.32540130615234, 198.3870506286621, -0.051798559725284576]","[235.53743362426758, 167.3924446105957, -0.02592029981315136]","[256.8939018249512, 159.80878829956055, -0.08709936589002609]","[235.10099411010742, 191.8729305267334, -0.07453644275665283]","[227.81282424926758, 190.23306369781494, -0.0474892258644104]","[210.94627380371094, 157.28951454162598, -0.05334826931357384]","[232.0958709716797, 152.00082778930664, -0.08032771944999695]","[220.1578712463379, 177.3425531387329, -0.07144000381231308]","[210.32901763916016, 179.69866275787354, -0.057126447558403015]"
26,"[179.61042404174805, 235.07912635803223, -5.3469211707124487e-05]","[221.6796875, 245.72559356689453, -0.014138637110590935]","[266.3294792175293, 239.66666221618652, -0.04465454816818237]","[300.3233528137207, 219.08868312835693, -0.08026136457920074]","[305.92735290527344, 189.46247577667236, -0.104435496032238]","[272.12562561035156, 192.52747535705566, 0.016904937103390694]","[297.0740509033203, 180.59417724609375, -0.026469331234693527]","[277.37585067749023, 202.26905822753906, -0.022540228441357613]","[266.4117240905762, 207.58071899414062, 0.0016617102082818747]","[255.02090454101562, 179.02440547943115, 0.0007943849195726216]","[277.7229309082031, 169.09642696380615, -0.06620866060256958]","[252.5294303894043, 199.81422901153564, -0.06821678578853607]","[245.5519676208496, 198.26634407043457, -0.04682355374097824]","[234.1738510131836, 167.49258041381836, -0.02314128912985325]","[254.88161087036133, 158.5614824295044, -0.079086072742939]","[234.0566062927246, 190.11827945709229, -0.06643328815698624]","[226.6521453857422, 189.7033166885376, -0.040143076330423355]","[209.64046478271484, 157.57676124572754, -0.04910711571574211]","[230.73545455932617, 151.36696815490723, -0.07433594763278961]","[219.07514572143555, 176.31897926330566, -0.0652894526720047]","[208.97689819335938, 179.71917629241943, -0.05050729215145111]"
27,"[179.34091567993164, 233.34919452667236, -4.232929495628923e-05]","[220.94356536865234, 245.0859832763672, -0.013542401604354382]","[265.6283378601074, 239.44657802581787, -0.04439907893538475]","[299.31156158447266, 218.374342918396, -0.0804535523056984]","[306.77928924560547, 188.52182865142822, -0.10427028685808182]","[273.01252365112305, 191.52949333190918, 0.017600709572434425]","[297.8614616394043, 181.0138750076294, -0.027379125356674194]","[277.7074432373047, 201.46562576293945, -0.02300667017698288]","[267.2938346862793, 205.0947618484497, 0.001437828759662807]","[255.8126449584961, 177.3365306854248, 0.0005030370666645467]","[278.3304214477539, 168.83756160736084, -0.06856155395507812]","[251.9197654724121, 199.41689014434814, -0.07085280120372772]","[246.04385375976562, 195.92403888702393, -0.04943827912211418]","[235.05542755126953, 165.59346199035645, -0.02442188188433647]","[255.17696380615234, 158.70584964752197, -0.08274860680103302]","[233.28445434570312, 190.11008262634277, -0.06896363198757172]","[226.99140548706055, 187.66416549682617, -0.04220065474510193]","[210.73854446411133, 155.67420959472656, -0.05120513215661049]","[231.4616584777832, 151.64693355560303, -0.07752055674791336]","[218.1979751586914, 176.71023845672607, -0.06684849411249161]","[208.2964324951172, 177.91478633880615, -0.05080405995249748]"
28,"[179.27677154541016, 232.42611408233643, -4.571120734908618e-05]","[220.81193923950195, 244.13655281066895, -0.01572704315185547]","[265.23223876953125, 239.81058597564697, -0.04824265092611313]","[300.21495819091797, 218.6191749572754, -0.08645624667406082]","[307.59754180908203, 187.61521339416504, -0.11151726543903351]","[274.97106552124023, 191.96032047271729, 0.0188046433031559]","[299.57340240478516, 181.76359176635742, -0.028749888762831688]","[279.4413185119629, 201.09326362609863, -0.02310320734977722]","[270.6872749328613, 204.09164428710938, 0.004055349621921778]","[257.7086639404297, 177.26903915405273, 0.002042835345491767]","[280.20790100097656, 168.29619884490967, -0.07030938565731049]","[252.9014778137207, 198.8025999069214, -0.0702320858836174]","[249.20555114746094, 194.39954280853271, -0.04444477707147598]","[236.45830154418945, 165.5268430709839, -0.023356616497039795]","[256.7930793762207, 158.10636520385742, -0.08544602245092392]","[234.04855728149414, 189.87250328063965, -0.07093970477581024]","[229.52978134155273, 186.54926776885986, -0.04133983328938484]","[211.81371688842773, 156.07240676879883, -0.05016094073653221]","[232.3531723022461, 151.9270133972168, -0.07908575981855392]","[218.75871658325195, 176.86766624450684, -0.06825920939445496]","[209.88805770874023, 177.16871738433838, -0.05071946978569031]"
29,"[179.7066307067871, 232.70865440368652, -6.0934915381949395e-05]","[221.12560272216797, 244.61325645446777, -0.015187259763479233]","[265.71876525878906, 239.21934127807617, -0.04616682603955269]","[300.20957946777344, 217.95759201049805, -0.08236338943243027]","[307.0242691040039, 187.60645866394043, -0.10616572201251984]","[274.42073822021484, 192.14422702789307, 0.018114404752850533]","[297.5871276855469, 180.1664113998413, -0.026099495589733124]","[277.46620178222656, 200.45928955078125, -0.02063818834722042]","[268.21985244750977, 204.75488662719727, 0.004768273793160915]","[257.4827003479004, 177.76784420013428, 0.0019198087975382805]","[279.274845123291, 167.56742477416992, -0.06640353053808212]","[252.8815460205078, 198.09146404266357, -0.06773276627063751]","[247.49435424804688, 195.48341274261475, -0.045055873692035675]","[236.64730072021484, 165.85803508758545, -0.022693900391459465]","[256.71783447265625, 157.31703758239746, -0.08117493242025375]","[234.62331771850586, 188.7958860397339, -0.06707099080085754]","[228.72543334960938, 186.84133529663086, -0.0390392430126667]","[212.10905075073242, 155.9703254699707, -0.04875657707452774]","[232.45460510253906, 150.82440376281738, -0.07603808492422104]","[219.3236541748047, 175.69602012634277, -0.06552216410636902]","[209.87396240234375, 177.27431774139404, -0.04900488257408142]"
30,"[181.7531967163086, 235.52581787109375, -7.717280823271722e-05]","[221.41347885131836, 247.2945499420166, -0.015424664132297039]","[265.2787780761719, 240.9913158416748, -0.046564798802137375]","[297.4113082885742, 218.74630451202393, -0.08348473161458969]","[305.5409049987793, 189.27114486694336, -0.1098388284444809]","[273.5258483886719, 193.49714756011963, 0.010777642950415611]","[296.1138916015625, 180.23035526275635, -0.037125155329704285]","[277.6191520690918, 201.87233448028564, -0.037572793662548065]","[267.47013092041016, 208.13665866851807, -0.0159772876650095]","[256.4228057861328, 179.54289436340332, -0.005911132320761681]","[277.21580505371094, 168.4802484512329, -0.07520899921655655]","[252.90460586547852, 200.19624710083008, -0.07891500741243362]","[245.67691802978516, 200.0623655319214, -0.05856483057141304]","[234.85980987548828, 168.60344409942627, -0.03086690977215767]","[254.63897705078125, 158.9586639404297, -0.08996162563562393]","[234.5964813232422, 192.31643199920654, -0.07518274337053299]","[227.0027732849121, 193.64599227905273, -0.04798354208469391]","[209.07785415649414, 159.96630191802979, -0.05734056606888771]","[228.96392822265625, 154.9764347076416, -0.08655023574829102]","[217.6158332824707, 181.20019912719727, -0.07670136541128159]","[207.64381408691406, 185.47250747680664, -0.06232387572526932]"
31,"[185.29836654663086, 249.53092575073242, -0.0001048587218974717]","[221.69916152954102, 260.7849311828613, -0.02259727008640766]","[266.0539245605469, 251.6825294494629, -0.05498744174838066]","[294.72728729248047, 227.521390914917, -0.0928240492939949]","[302.80908584594727, 196.44394397735596, -0.11983529478311539]","[266.53926849365234, 202.18947887420654, -0.005633764900267124]","[289.85408782958984, 186.25442504882812, -0.05913097411394119]","[274.2317199707031, 212.92625427246094, -0.058966293931007385]","[262.30756759643555, 223.03224563598633, -0.03520863130688667]","[249.02881622314453, 188.4065294265747, -0.020842988044023514]","[271.0453414916992, 174.77188110351562, -0.09911652654409409]","[249.96482849121094, 210.8464479446411, -0.10256782919168472]","[239.50464248657227, 214.70701217651367, -0.07697632163763046]","[227.57644653320312, 177.78156280517578, -0.04481565207242966]","[249.14974212646484, 166.39134407043457, -0.11070471256971359]","[232.09896087646484, 203.2507610321045, -0.09851997345685959]","[221.95384979248047, 207.95129299163818, -0.070821113884449]","[202.31683731079102, 169.4677734375, -0.07074864208698273]","[223.76855850219727, 161.1550998687744, -0.10638170689344406]","[215.14663696289062, 189.35996532440186, -0.10083194822072983]","[204.58175659179688, 196.7909574508667, -0.08823177218437195]"
32,"[193.12728881835938, 262.87991523742676, -0.0001334260741714388]","[226.75874710083008, 267.9190921783447, -0.032663438469171524]","[260.52621841430664, 260.9728717803955, -0.06574103981256485]","[280.93013763427734, 250.33395767211914, -0.10094715654850006]","[298.4617614746094, 243.6434555053711, -0.13410219550132751]","[264.5046615600586, 228.41574668884277, -0.07649578899145126]","[285.8209800720215, 233.74956607818604, -0.15626925230026245]","[277.58983612060547, 259.5967769622803, -0.18886423110961914]","[266.56917572021484, 278.0387592315674, -0.19778737425804138]","[246.16497039794922, 218.69267463684082, -0.09428858011960983]","[261.31465911865234, 225.73591232299805, -0.18201200664043427]","[254.08369064331055, 255.2442169189453, -0.20764006674289703]","[242.7041244506836, 274.08485412597656, -0.21078242361545563]","[223.15776824951172, 213.7247371673584, -0.11830666661262512]","[238.15570831298828, 219.79444026947021, -0.19975897669792175]","[231.98400497436523, 250.40348052978516, -0.2082168012857437]","[221.76319122314453, 269.2434024810791, -0.19533108174800873]","[198.79627227783203, 211.75498008728027, -0.1407071202993393]","[212.57257461547852, 213.10594081878662, -0.19481022655963898]","[214.17181015014648, 236.36760234832764, -0.1963747888803482]","[210.0637435913086, 253.3150863647461, -0.18851546943187714]"
33,"[172.26423263549805, 345.6895065307617, -0.0001347910292679444]","[223.16818237304688, 353.953800201416, -0.03168133273720741]","[272.44190216064453, 339.18994903564453, -0.07216724753379822]","[292.4041175842285, 309.16894912719727, -0.11480040848255157]","[279.3496894836426, 278.45415115356445, -0.14801736176013947]","[274.98849868774414, 280.9858703613281, -0.047051336616277695]","[297.7432441711426, 261.40889167785645, -0.1147998571395874]","[286.1012840270996, 290.2821350097656, -0.12725627422332764]","[275.0374984741211, 307.7683925628662, -0.11087711155414581]","[249.72370147705078, 265.4208469390869, -0.06178160011768341]","[270.04364013671875, 263.67899894714355, -0.15247170627117157]","[254.95296478271484, 297.6602840423584, -0.1716827154159546]","[240.95561981201172, 310.4732322692871, -0.1632458120584488]","[222.81658172607422, 255.53475379943848, -0.083763487637043]","[244.62690353393555, 259.782657623291, -0.1566358506679535]","[233.3692169189453, 292.9562759399414, -0.155664324760437]","[219.56308364868164, 307.5868606567383, -0.1410236358642578]","[194.67422485351562, 250.67378997802734, -0.1085185557603836]","[217.90552139282227, 252.70013809204102, -0.15324831008911133]","[212.68905639648438, 281.35414123535156, -0.15892723202705383]","[201.57438278198242, 296.59435272216797, -0.15555095672607422]"
34,"[176.4866065979004, 363.89631271362305, -8.303378126583993e-05]","[220.55952072143555, 377.7541923522949, -0.032678667455911636]","[264.8951530456543, 369.9302101135254, -0.07162131369113922]","[287.2865104675293, 356.1720085144043, -0.11537522822618484]","[282.3553276062012, 334.0528392791748, -0.15136955678462982]","[267.1155548095703, 308.20984840393066, -0.05061328783631325]","[286.0019874572754, 312.5614929199219, -0.11492045968770981]","[271.06287002563477, 342.6735019683838, -0.12112154811620712]","[259.28585052490234, 357.09388732910156, -0.10365992039442062]","[244.63956832885742, 292.68218994140625, -0.06696220487356186]","[261.0928535461426, 302.4800205230713, -0.1498420238494873]","[244.43706512451172, 336.5489387512207, -0.16436490416526794]","[229.55528259277344, 345.52342414855957, -0.15188397467136383]","[219.34009552001953, 284.7354984283447, -0.09110133349895477]","[236.0087013244629, 296.8787384033203, -0.1619190126657486]","[222.0734977722168, 328.9556121826172, -0.15932215750217438]","[209.39517974853516, 337.7372360229492, -0.14407826960086823]","[192.75875091552734, 281.1917781829834, -0.11633532494306564]","[207.54484176635742, 289.2970848083496, -0.1519172191619873]","[202.40602493286133, 315.7752799987793, -0.14773871004581451]","[195.4338264465332, 326.96763038635254, -0.13980896770954132]"
